; Number of ROIs: 2
; File Dimension: 507 x 624
;
; ROI name: water
; ROI rgb value: {72, 72, 255}
; ROI npts: 4335
;
; ROI name: land
; ROI rgb value: {255, 206, 116}
; ROI npts: 3300
;
; File X, File Y, Map X, Map Y, Lat, Lon, B1, B2, B3, B4
 6410,  7135,  764060.0000,  2628650.0000,  23.74725799,  119.59054152,  404,  332,  154,   97
 6411,  7135,  764070.0000,  2628650.0000,  23.74725635,  119.59063954,  390,  316,  162,  103
 6412,  7135,  764080.0000,  2628650.0000,  23.74725470,  119.59073757,  383,  327,  160,  100
 6413,  7135,  764090.0000,  2628650.0000,  23.74725306,  119.59083560,  408,  324,  157,  101
 6414,  7135,  764100.0000,  2628650.0000,  23.74725141,  119.59093362,  390,  336,  172,  107
 6415,  7135,  764110.0000,  2628650.0000,  23.74724977,  119.59103165,  380,  345,  146,   99
 6416,  7135,  764120.0000,  2628650.0000,  23.74724813,  119.59112967,  386,  334,  148,   94
 6417,  7135,  764130.0000,  2628650.0000,  23.74724648,  119.59122770,  385,  327,  156,   96
 6418,  7135,  764140.0000,  2628650.0000,  23.74724484,  119.59132573,  405,  299,  160,   93
 6419,  7135,  764150.0000,  2628650.0000,  23.74724319,  119.59142375,  404,  331,  160,   97
 6420,  7135,  764160.0000,  2628650.0000,  23.74724155,  119.59152178,  394,  343,  163,  107
 6421,  7135,  764170.0000,  2628650.0000,  23.74723990,  119.59161981,  365,  316,  154,  107
 6422,  7135,  764180.0000,  2628650.0000,  23.74723826,  119.59171783,  392,  336,  141,  102
 6423,  7135,  764190.0000,  2628650.0000,  23.74723661,  119.59181586,  379,  321,  137,  106
 6424,  7135,  764200.0000,  2628650.0000,  23.74723497,  119.59191388,  355,  317,  138,   95
 6425,  7135,  764210.0000,  2628650.0000,  23.74723332,  119.59201191,  413,  344,  144,  106
 6426,  7135,  764220.0000,  2628650.0000,  23.74723168,  119.59210994,  428,  344,  148,  101
 6427,  7135,  764230.0000,  2628650.0000,  23.74723003,  119.59220796,  392,  335,  150,   93
 6428,  7135,  764240.0000,  2628650.0000,  23.74722839,  119.59230599,  376,  325,  148,  102
 6429,  7135,  764250.0000,  2628650.0000,  23.74722674,  119.59240401,  375,  327,  139,  104
 6430,  7135,  764260.0000,  2628650.0000,  23.74722510,  119.59250204,  364,  330,  147,   85
 6431,  7135,  764270.0000,  2628650.0000,  23.74722345,  119.59260007,  362,  307,  123,   79
