,0,1
198,765180.0,2628260.0
199,765200.0,2628260.0
200,765200.0,2628270.0
201,765210.0,2628270.0
202,765210.0,2628280.0
203,765220.0,2628280.0
204,765220.0,2628290.0
205,765210.0,2628290.0
206,765210.0,2628300.0
207,765200.0,2628300.0
208,765200.0,2628320.0
209,765210.0,2628320.0
210,765210.0,2628310.0
211,765240.0,2628310.0
212,765240.0,2628300.0
213,765280.0,2628300.0
214,765280.0,2628290.0
215,765310.0,2628290.0
216,765310.0,2628300.0
217,765330.0,2628300.0
218,765330.0,2628310.0
219,765350.0,2628310.0
220,765350.0,2628320.0
221,765360.0,2628320.0
222,765360.0,2628330.0
223,765370.0,2628330.0
224,765370.0,2628340.0
225,765390.0,2628340.0
226,765390.0,2628350.0
227,765400.0,2628350.0
228,765400.0,2628360.0
229,765390.0,2628360.0
230,765390.0,2628350.0
231,765370.0,2628350.0
232,765370.0,2628340.0
233,765360.0,2628340.0
234,765360.0,2628330.0
235,765350.0,2628330.0
236,765350.0,2628320.0
237,765310.0,2628320.0
238,765310.0,2628310.0
239,765270.0,2628310.0
240,765270.0,2628320.0
241,765250.0,2628320.0
242,765250.0,2628330.0
243,765240.0,2628330.0
244,765240.0,2628350.0
245,765230.0,2628350.0
246,765230.0,2628410.0
247,765220.0,2628410.0
248,765220.0,2628430.0
249,765230.0,2628430.0
250,765230.0,2628520.0
251,765240.0,2628520.0
252,765240.0,2628540.0
253,765250.0,2628540.0
254,765250.0,2628570.0
255,765260.0,2628570.0
256,765260.0,2628580.0
257,765270.0,2628580.0
258,765270.0,2628600.0
259,765280.0,2628600.0
260,765280.0,2628620.0
261,765290.0,2628620.0
262,765290.0,2628650.0
263,765300.0,2628650.0
264,765300.0,2628670.0
265,765310.0,2628670.0
266,765310.0,2628710.0
267,765320.0,2628710.0
268,765320.0,2628730.0
269,765330.0,2628730.0
270,765330.0,2628750.0
271,765340.0,2628750.0
272,765340.0,2628770.0
273,765350.0,2628770.0
274,765350.0,2628790.0
275,765360.0,2628790.0
276,765360.0,2628810.0
277,765370.0,2628810.0
278,765370.0,2628830.0
279,765380.0,2628830.0
280,765380.0,2628860.0
281,765390.0,2628860.0
282,765390.0,2628880.0
283,765400.0,2628880.0
284,765400.0,2628900.0
285,765410.0,2628900.0
286,765410.0,2628920.0
287,765420.0,2628920.0
288,765420.0,2628950.0
289,765430.0,2628950.0
290,765430.0,2628970.0
291,765440.0,2628970.0
292,765440.0,2628990.0
293,765450.0,2628990.0
294,765450.0,2629020.0
295,765460.0,2629020.0
296,765460.0,2629040.0
297,765470.0,2629040.0
298,765470.0,2629060.0
299,765480.0,2629060.0
300,765480.0,2629080.0
301,765490.0,2629080.0
302,765490.0,2629090.0
303,765500.0,2629090.0
304,765500.0,2629110.0
305,765510.0,2629110.0
306,765510.0,2629130.0
307,765520.0,2629130.0
308,765520.0,2629150.0
309,765530.0,2629150.0
310,765530.0,2629170.0
311,765540.0,2629170.0
312,765540.0,2629180.0
313,765550.0,2629180.0
314,765550.0,2629200.0
315,765560.0,2629200.0
316,765560.0,2629220.0
317,765570.0,2629220.0
318,765570.0,2629240.0
319,765580.0,2629240.0
320,765580.0,2629260.0
321,765590.0,2629260.0
322,765590.0,2629280.0
323,765600.0,2629280.0
324,765600.0,2629310.0
325,765610.0,2629310.0
326,765610.0,2629340.0
327,765620.0,2629340.0
328,765620.0,2629360.0
329,765630.0,2629360.0
330,765630.0,2629390.0
331,765640.0,2629390.0
332,765640.0,2629420.0
333,765650.0,2629420.0
334,765650.0,2629460.0
335,765660.0,2629460.0
336,765660.0,2629500.0
337,765670.0,2629500.0
338,765670.0,2629530.0
339,765680.0,2629530.0
340,765680.0,2629550.0
341,765690.0,2629550.0
342,765690.0,2629570.0
343,765700.0,2629570.0
344,765700.0,2629580.0
345,765710.0,2629580.0
346,765710.0,2629590.0
347,765720.0,2629590.0
348,765720.0,2629600.0
349,765730.0,2629600.0
350,765730.0,2629610.0
351,765750.0,2629610.0
352,765750.0,2629620.0
353,765790.0,2629620.0
354,765790.0,2629610.0
355,765810.0,2629610.0
356,765810.0,2629600.0
357,765830.0,2629600.0
358,765830.0,2629590.0
359,765840.0,2629590.0
360,765840.0,2629580.0
361,765890.0,2629580.0
362,765890.0,2629570.0
363,765940.0,2629570.0
364,765940.0,2629580.0
365,765950.0,2629580.0
366,765950.0,2629590.0
367,765960.0,2629590.0
368,765960.0,2629600.0
369,765970.0,2629600.0
370,765970.0,2629620.0
371,765980.0,2629620.0
372,765980.0,2629630.0
373,765990.0,2629630.0
374,765990.0,2629620.0
375,766020.0,2629620.0
376,766020.0,2629630.0
377,766030.0,2629630.0
378,766030.0,2629640.0
379,766040.0,2629640.0
380,766040.0,2629660.0
381,766050.0,2629660.0
382,766050.0,2629670.0
383,766060.0,2629670.0
384,766060.0,2629660.0
385,766070.0,2629660.0
386,766070.0,2629650.0
387,766080.0,2629650.0
388,766080.0,2629660.0
389,766120.0,2629660.0
390,766120.0,2629670.0
391,766130.0,2629670.0
392,766130.0,2629680.0
393,766140.0,2629680.0
394,766140.0,2629690.0
395,766150.0,2629690.0
396,766150.0,2629700.0
397,766180.0,2629700.0
398,766180.0,2629690.0
399,766200.0,2629690.0
400,766200.0,2629680.0
401,766210.0,2629680.0
402,766210.0,2629670.0
403,766230.0,2629670.0
404,766230.0,2629660.0
405,766240.0,2629660.0
406,766240.0,2629650.0
407,766250.0,2629650.0
408,766250.0,2629630.0
409,766260.0,2629630.0
410,766260.0,2629580.0
411,766240.0,2629580.0
412,766240.0,2629530.0
413,766230.0,2629530.0
414,766230.0,2629490.0
415,766220.0,2629490.0
416,766220.0,2629480.0
417,766190.0,2629480.0
418,766190.0,2629470.0
419,766180.0,2629470.0
420,766180.0,2629450.0
421,766190.0,2629450.0
422,766190.0,2629430.0
423,766200.0,2629430.0
424,766200.0,2629410.0
425,766210.0,2629410.0
426,766210.0,2629390.0
427,766220.0,2629390.0
428,766220.0,2629380.0
429,766230.0,2629380.0
430,766230.0,2629370.0
431,766240.0,2629370.0
432,766240.0,2629350.0
433,766250.0,2629350.0
434,766250.0,2629330.0
435,766260.0,2629330.0
436,766260.0,2629320.0
437,766270.0,2629320.0
438,766270.0,2629310.0
439,766290.0,2629310.0
440,766290.0,2629300.0
441,766300.0,2629300.0
442,766300.0,2629290.0
443,766310.0,2629290.0
444,766310.0,2629280.0
445,766330.0,2629280.0
446,766330.0,2629270.0
447,766340.0,2629270.0
448,766340.0,2629260.0
449,766360.0,2629260.0
450,766360.0,2629250.0
451,766370.0,2629250.0
452,766370.0,2629240.0
453,766390.0,2629240.0
454,766390.0,2629230.0
455,766410.0,2629230.0
456,766410.0,2629220.0
457,766430.0,2629220.0
458,766430.0,2629210.0
459,766450.0,2629210.0
460,766450.0,2629200.0
